Src IP,Dst IP,Total Flow Duration,Total Forward Packets,Average Flow Duration,Average Forward Packets,Std Dev Flow Duration,Std Dev Forward Packets
192.168.20.13,3.65.95.68,1846222308,3084,-1.224372494E9,1542.0,3.67033618E8,1408.0
192.168.20.43,18.164.55.110,347146452,155,3.47146452E8,155.0,0.0,0.0
192.168.20.42,142.250.201.174,80992190,19,8.099219E7,19.0,0.0,0.0
192.168.20.43,44.228.215.143,43469507,89,4.3469507E7,89.0,0.0,0.0
192.168.20.42,142.250.201.170,376662544,105,3.76662544E8,105.0,0.0,0.0
54.238.156.226,192.168.20.48,3787,3,3787.0,3.0,0.0,0.0
192.168.20.43,52.37.30.201,51896031,106,5.1896031E7,106.0,0.0,0.0
192.168.20.43,54.209.44.8,31613600,300,3.16136E7,300.0,0.0,0.0
192.168.20.43,54.68.57.171,96957331,233,9.6957331E7,233.0,0.0,0.0
192.168.20.43,52.46.137.209,532009,32,532009.0,32.0,0.0,0.0
192.168.20.48,18.203.57.224,-1125769935,1497,-5.628849675E8,748.5,1.4088390565E9,646.5
192.168.20.48,18.155.131.56,137744,19,137744.0,19.0,0.0,0.0
142.250.75.234,192.168.20.42,8865,9,8865.0,9.0,0.0,0.0
192.168.20.20,99.80.0.240,-1330528786,2936,-6.65264393E8,1468.0,1.209051281E9,1336.0
192.168.20.43,52.94.217.134,519198470,235,5.1919847E8,235.0,0.0,0.0
54.221.200.137,192.168.20.48,52744,20,26372.0,10.0,25165.0,9.0
192.168.20.48,75.2.104.77,714165,14,714165.0,14.0,0.0,0.0
192.168.20.43,18.203.57.224,-1624894222,3826,-1.624894222E9,3826.0,0.0,0.0
192.168.20.43,52.205.66.64,30831984,160,3.0831984E7,160.0,0.0,0.0
15.161.86.203,192.168.20.48,9851,3,9851.0,3.0,0.0,0.0
192.168.20.48,54.195.209.68,381127,51,381127.0,51.0,0.0,0.0
192.168.20.43,18.164.55.101,262246749,88,1.311233745E8,44.0,1.70130435E7,33.0
192.168.20.48,52.46.157.6,743650,28,743650.0,28.0,0.0,0.0
192.168.20.43,82.64.32.33,4226,1,4226.0,1.0,0.0,0.0
192.168.20.43,3.227.250.226,653222,22,653222.0,22.0,0.0,0.0
52.94.236.45,192.168.20.43,2266,3,2266.0,3.0,0.0,0.0
192.168.20.43,52.222.149.49,264777,20,264777.0,20.0,0.0,0.0
35.178.33.97,192.168.20.48,7039,5,7039.0,5.0,0.0,0.0
192.168.20.48,52.45.237.36,78535,1,78535.0,1.0,0.0,0.0
192.168.20.48,18.229.75.205,4256123,88,4256123.0,88.0,0.0,0.0
13.48.15.205,192.168.20.48,4639,4,4639.0,4.0,0.0,0.0
35.155.9.57,192.168.20.48,1667,3,1667.0,3.0,0.0,0.0
192.168.20.43,52.16.104.93,1199175405,4382,1.199175405E9,4382.0,0.0,0.0
192.168.20.43,18.155.126.209,15552338,1170,7776169.0,585.0,6865533.0,521.0
192.168.20.48,18.214.180.6,6212508,372,6212508.0,372.0,0.0,0.0
192.168.20.48,35.171.65.8,235868,7,235868.0,7.0,0.0,0.0
192.168.20.43,35.174.51.236,30996116,176,3.0996116E7,176.0,0.0,0.0
192.168.20.48,209.54.180.44,380242,14,380242.0,14.0,0.0,0.0
192.168.20.48,108.137.188.162,3515264,67,3515264.0,67.0,0.0,0.0
35.155.9.57,192.168.20.43,138489,9,138489.0,9.0,0.0,0.0
192.168.20.40,192.168.20.42,3134,1,3134.0,1.0,0.0,0.0
192.168.20.43,54.88.98.123,987702410,126,9.8770241E8,126.0,0.0,0.0
192.168.20.43,18.164.49.183,60136975,145,6.0136975E7,145.0,0.0,0.0
192.168.20.43,3.220.182.54,20523237,171,2.0523237E7,171.0,0.0,0.0
35.173.74.42,192.168.20.48,1528,1,1528.0,1.0,0.0,0.0
192.168.20.48,54.215.58.112,2741293,69,2741293.0,69.0,0.0,0.0
192.168.20.43,54.166.238.29,879368592,112,4.39684296E8,56.0,3.30933926E8,42.0
192.168.20.43,52.3.30.207,951133697,124,4.755668485E8,62.0,3.645356215E8,48.0
3.112.156.31,192.168.20.48,4709,3,4709.0,3.0,0.0,0.0
18.155.126.209,192.168.20.43,29949,166,14974.5,83.0,14254.5,75.0
192.168.20.48,13.50.30.171,924750,85,924750.0,85.0,0.0,0.0
192.168.20.48,52.222.149.3,74850,13,74850.0,13.0,0.0,0.0
192.168.20.48,52.222.149.4,52152,12,52152.0,12.0,0.0,0.0
192.168.20.43,52.46.157.6,61499368,12,6.1499368E7,12.0,0.0,0.0
192.168.20.43,34.239.216.180,100002060,2107,5.000103E7,1053.5,4.6192929E7,1029.5
18.155.126.209,192.168.20.48,177138,189,88569.0,94.5,85226.0,88.5
52.84.177.10,192.168.20.45,40483,10,40483.0,10.0,0.0,0.0
192.168.20.42,216.58.214.74,246555419,59,2.46555419E8,59.0,0.0,0.0
34.252.33.62,192.168.20.48,4232,4,4232.0,4.0,0.0,0.0
54.194.135.95,192.168.20.20,5281,2,5281.0,2.0,0.0,0.0
192.168.20.43,54.239.33.155,970265,26,970265.0,26.0,0.0,0.0
192.168.20.13,255.255.255.255,101105897,17040,5.05529485E7,8520.0,8.404682025E8,7789.0
35.178.87.88,192.168.20.48,1443,1,1443.0,1.0,0.0,0.0
192.168.20.43,52.94.231.169,80514475,11,8.0514475E7,11.0,0.0,0.0
192.168.20.48,13.37.191.91,196234,52,196234.0,52.0,0.0,0.0
192.168.20.48,3.214.58.173,153551,2,153551.0,2.0,0.0,0.0
192.168.20.19,52.210.32.69,941478816,4102,4.70739408E8,2051.0,2.24706251E8,1788.0
192.168.20.48,35.178.87.88,94036,17,94036.0,17.0,0.0,0.0
192.168.20.43,3.226.196.104,31833222,144,3.1833222E7,144.0,0.0,0.0
3.105.75.37,192.168.20.48,8123,5,8123.0,5.0,0.0,0.0
18.229.75.205,192.168.20.48,5877,5,5877.0,5.0,0.0,0.0
216.58.214.166,192.168.20.42,1205,1,1205.0,1.0,0.0,0.0
192.168.20.19,8.8.8.8,4513743,1277,2256871.5,638.5,2058883.5,591.5
192.168.20.43,52.119.198.106,64401230,10,6.440123E7,10.0,0.0,0.0
192.168.20.48,52.46.128.81,1587238,56,1587238.0,56.0,0.0,0.0
52.46.137.106,192.168.20.43,5968,3,5968.0,3.0,0.0,0.0
192.168.20.48,34.250.50.152,1104027,138,1104027.0,138.0,0.0,0.0
192.168.20.48,54.68.250.149,1321915,34,1321915.0,34.0,0.0,0.0
192.168.20.48,52.46.128.80,356694,12,356694.0,12.0,0.0,0.0
67.220.240.113,192.168.20.43,1705,2,1705.0,2.0,0.0,0.0
